timestamp,event_type,content
1733330495.6739619,command_sent,"<009,035,160,090,120>"
1733330495.6932778,command_sent,"<008,035,160,090,120>"
1733330495.713473,feedback_received,"Uno_FB: 197,218,215,336"
1733330495.714124,feedback_received,"Uno_FB: 186,218,215,337"
1733330495.714369,feedback_received,Nano_Servo5_FB: 401
1733330495.714803,feedback_received,"Nano_Current: 531,533,531,529,533"
1733330495.729341,command_sent,"<006,035,160,090,120>"
1733330495.755886,feedback_received,"Uno_FB: 190,219,215,337"
1733330495.75631,feedback_received,Nano_Servo5_FB: 402
1733330495.7567391,feedback_received,"Nano_Current: 533,533,532,529,533"
1733330495.771254,command_sent,"<005,035,160,090,120>"
1733330495.792065,command_sent,"<003,035,160,090,120>"
1733330495.813059,command_sent,"<000,035,160,090,120>"
1733330495.833007,feedback_received,"Uno_FB: 198,219,216,337"
1733330495.833717,feedback_received,"Uno_FB: 190,218,215,337"
1733330495.834015,feedback_received,Nano_Servo5_FB: 402
1733330495.8344471,feedback_received,"Nano_Current: 537,532,531,530,532"
1733330495.855253,feedback_received,"Uno_FB: 183,219,215,337"
1733330495.855737,feedback_received,Nano_Servo5_FB: 401
1733330495.856194,feedback_received,"Nano_Current: 536,532,531,530,532"
1733330495.90518,feedback_received,"Uno_FB: 175,218,215,337"
1733330495.9057128,feedback_received,Nano_Servo5_FB: 401
1733330495.90623,feedback_received,"Nano_Current: 530,532,531,530,531"
1733330495.9548092,feedback_received,"Uno_FB: 160,218,215,336"
1733330495.95562,feedback_received,"Uno_FB: 155,218,215,337"
1733330495.955948,feedback_received,Nano_Servo5_FB: 401
1733330495.9635599,feedback_received,"Nano_Current: 526,532,531,530,532"
1733330496.0057971,feedback_received,"Uno_FB: 153,219,215,336"
1733330496.055595,feedback_received,"Uno_FB: 150,218,215,337"
1733330496.05643,feedback_received,"Uno_FB: 149,218,215,336"
1733330496.056751,feedback_received,Nano_Servo5_FB: 402
1733330496.057299,feedback_received,"Nano_Current: 526,533,531,529,532"
1733330496.105802,feedback_received,"Uno_FB: 147,218,214,336"
1733330496.106327,feedback_received,Nano_Servo5_FB: 402
1733330496.1068811,feedback_received,"Nano_Current: 527,533,531,528,532"
1733330496.107052,feedback_received,Nano_Servo5_FB: 402
1733330496.1075299,feedback_received,"Nano_Current: 527,533,531,529,532"
1733330496.155675,feedback_received,"Uno_FB: 148,218,215,336"
1733330496.156502,feedback_received,"Uno_FB: 148,218,215,337"
1733330496.1568189,feedback_received,Nano_Servo5_FB: 402
1733330496.171514,feedback_received,"Nano_Current: 526,534,532,530,532"
1733330496.2150989,feedback_received,"Uno_FB: 148,218,215,336"
1733330496.2556539,feedback_received,"Uno_FB: 147,218,215,337"
1733330496.2582452,feedback_received,"Uno_FB: 147,218,214,337"
1733330496.258613,feedback_received,Nano_Servo5_FB: 402
1733330496.259168,feedback_received,"Nano_Current: 526,532,532,529,532"
1733330496.3064032,feedback_received,"Uno_FB: 147,218,215,336"
1733330496.306945,feedback_received,Nano_Servo5_FB: 402
1733330496.3075142,feedback_received,"Nano_Current: 526,533,532,530,533"
1733330496.355694,feedback_received,"Uno_FB: 147,218,215,336"
1733330496.3562398,feedback_received,Nano_Servo5_FB: 402
1733330496.356815,feedback_received,"Nano_Current: 526,532,532,528,532"
1733330496.405377,feedback_received,"Uno_FB: 147,218,215,336"
1733330496.406313,feedback_received,"Uno_FB: 146,218,215,336"
1733330496.406666,feedback_received,Nano_Servo5_FB: 402
1733330496.407254,feedback_received,"Nano_Current: 526,533,532,530,533"
1733330496.455688,feedback_received,"Uno_FB: 147,218,215,337"
1733330496.456198,feedback_received,Nano_Servo5_FB: 401
1733330496.4567611,feedback_received,"Nano_Current: 526,533,531,529,532"
1733330496.505565,feedback_received,"Uno_FB: 147,218,215,336"
1733330496.506407,feedback_received,"Uno_FB: 147,218,215,336"
1733330496.506727,feedback_received,Nano_Servo5_FB: 402
1733330496.507273,feedback_received,"Nano_Current: 527,532,532,529,532"
1733330496.555711,feedback_received,"Uno_FB: 147,218,215,336"
1733330496.556283,feedback_received,Nano_Servo5_FB: 401
1733330496.5568562,feedback_received,"Nano_Current: 526,532,531,529,533"
1733330496.605889,feedback_received,"Uno_FB: 147,218,214,336"
1733330496.6067462,feedback_received,"Uno_FB: 146,218,215,336"
1733330496.607075,feedback_received,Nano_Servo5_FB: 402
1733330496.607622,feedback_received,"Nano_Current: 527,533,532,530,532"
1733330496.655742,feedback_received,"Uno_FB: 147,218,215,336"
1733330496.656283,feedback_received,Nano_Servo5_FB: 401
1733330496.656857,feedback_received,"Nano_Current: 526,532,531,529,531"
1733330496.706677,feedback_received,"Uno_FB: 147,218,215,336"
1733330496.707507,feedback_received,"Uno_FB: 147,218,215,337"
1733330496.707855,feedback_received,Nano_Servo5_FB: 402
1733330496.708425,feedback_received,"Nano_Current: 527,533,532,529,532"
1733330496.755743,feedback_received,"Uno_FB: 147,218,214,336"
1733330496.756263,feedback_received,Nano_Servo5_FB: 402
1733330496.7568388,feedback_received,"Nano_Current: 525,532,532,529,532"
1733330496.805849,feedback_received,"Uno_FB: 147,218,215,337"
1733330496.806869,feedback_received,"Uno_FB: 146,218,215,336"
1733330496.807206,feedback_received,Nano_Servo5_FB: 402
1733330496.8077729,feedback_received,"Nano_Current: 526,533,532,529,531"
1733330496.855816,feedback_received,"Uno_FB: 147,219,215,336"
1733330496.8563578,feedback_received,Nano_Servo5_FB: 402
1733330496.8569431,feedback_received,"Nano_Current: 527,533,530,528,533"
1733330496.90515,feedback_received,"Uno_FB: 147,218,215,336"
1733330496.90924,feedback_received,"Uno_FB: 147,218,215,337"
1733330496.909594,feedback_received,Nano_Servo5_FB: 402
1733330496.910146,feedback_received,"Nano_Current: 526,532,532,530,532"
1733330496.9552388,feedback_received,"Uno_FB: 146,218,215,336"
1733330496.9562979,feedback_received,Nano_Servo5_FB: 402
1733330496.9568799,feedback_received,"Nano_Current: 526,532,530,529,532"
1733330497.005872,feedback_received,"Uno_FB: 147,218,214,336"
1733330497.006443,feedback_received,Nano_Servo5_FB: 402
1733330497.007044,feedback_received,"Nano_Current: 527,533,531,530,533"
1733330497.055875,feedback_received,"Uno_FB: 147,218,215,336"
1733330497.056746,feedback_received,"Uno_FB: 147,219,214,336"
1733330497.05709,feedback_received,Nano_Servo5_FB: 401
1733330497.057695,feedback_received,"Nano_Current: 527,532,531,530,533"
1733330497.1062698,feedback_received,"Uno_FB: 147,218,215,336"
1733330497.106859,feedback_received,Nano_Servo5_FB: 402
1733330497.107448,feedback_received,"Nano_Current: 526,533,532,529,532"
1733330497.155892,feedback_received,"Uno_FB: 147,218,214,336"
1733330497.156744,feedback_received,"Uno_FB: 147,218,215,336"
1733330497.157085,feedback_received,Nano_Servo5_FB: 402
1733330497.157635,feedback_received,"Nano_Current: 527,532,530,529,532"
1733330497.205347,feedback_received,"Uno_FB: 146,218,215,336"
1733330497.2059011,feedback_received,Nano_Servo5_FB: 402
1733330497.206482,feedback_received,"Nano_Current: 527,533,531,529,532"
1733330497.223593,command_sent,"<002,035,160,090,120>"
1733330497.2457018,command_sent,"<003,035,160,090,120>"
1733330497.2656698,feedback_received,"Uno_FB: 147,218,215,336"
1733330497.2664802,feedback_received,"Uno_FB: 147,218,214,336"
1733330497.2667992,feedback_received,Nano_Servo5_FB: 401
1733330497.2672682,feedback_received,"Nano_Current: 526,533,530,530,531"
1733330497.28529,command_sent,"<005,035,160,090,120>"
1733330497.305258,feedback_received,"Uno_FB: 145,218,215,336"
1733330497.3057642,feedback_received,Nano_Servo5_FB: 402
1733330497.3062341,feedback_received,"Nano_Current: 526,534,531,530,532"
1733330497.3215191,command_sent,"<006,035,160,090,120>"
1733330497.341915,command_sent,"<008,035,160,090,120>"
1733330497.36159,feedback_received,"Uno_FB: 146,218,215,337"
1733330497.362251,feedback_received,"Uno_FB: 148,218,215,336"
1733330497.362505,feedback_received,Nano_Servo5_FB: 402
1733330497.363026,feedback_received,"Nano_Current: 526,532,531,530,532"
1733330497.377156,command_sent,"<009,035,160,090,120>"
1733330497.4054148,feedback_received,"Uno_FB: 151,218,215,337"
1733330497.405864,feedback_received,Nano_Servo5_FB: 402
1733330497.406332,feedback_received,"Nano_Current: 527,531,532,529,532"
1733330497.420737,command_sent,"<011,035,160,090,120>"
1733330497.4407501,command_sent,"<012,035,160,090,120>"
1733330497.460205,feedback_received,"Uno_FB: 153,218,215,336"
1733330497.4608698,feedback_received,"Uno_FB: 155,219,215,337"
1733330497.4611042,feedback_received,Nano_Servo5_FB: 402
1733330497.464809,feedback_received,"Nano_Current: 527,533,531,529,533"
1733330497.478889,command_sent,"<014,035,160,090,120>"
1733330497.4995232,command_sent,"<016,035,160,090,120>"
1733330497.519136,feedback_received,"Uno_FB: 160,218,215,337"
1733330497.519598,feedback_received,Nano_Servo5_FB: 402
1733330497.52014,feedback_received,"Nano_Current: 529,533,531,529,532"
1733330497.5338612,command_sent,"<017,035,160,090,120>"
1733330497.553646,command_sent,"<019,035,160,090,120>"
1733330497.5738099,feedback_received,"Uno_FB: 163,219,214,336"
1733330497.574461,feedback_received,"Uno_FB: 165,218,215,337"
1733330497.574694,feedback_received,Nano_Servo5_FB: 402
